City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
93,Mizan Teferi,ET,2021-04-11 15:56:45,6.9833,35.5833,68.11,79,100,3.44,overcast clouds
94,Shiringushi,RU,2021-04-11 15:56:46,53.8485,42.7676,45.39,60,100,8.77,overcast clouds
95,East London,ZA,2021-04-11 15:56:46,-33.0153,27.9116,71.6,94,75,8.05,broken clouds
96,Husavik,IS,2021-04-11 15:56:46,66.0449,-17.3389,35.6,69,40,9.22,scattered clouds
97,Kysyl-Syr,RU,2021-04-11 15:56:47,63.8986,122.7617,0.1,97,18,5.12,few clouds
98,Moundsville,US,2021-04-11 15:56:47,39.9203,-80.7431,64.0,59,90,10.36,overcast clouds
99,Richards Bay,ZA,2021-04-11 15:56:47,-28.783,32.0377,73.63,84,0,2.1,clear sky
100,Acapulco,MX,2021-04-11 15:54:59,16.8634,-99.8901,82.4,69,1,6.91,clear sky
101,Aitape,PG,2021-04-11 15:56:48,-3.1374,142.3475,77.92,89,95,5.99,heavy intensity rain
102,Nanortalik,GL,2021-04-11 15:56:48,60.1432,-45.2371,39.09,65,1,7.14,clear sky
103,Tshela,CD,2021-04-11 15:56:49,-4.9833,12.9333,83.28,76,70,4.09,light rain
104,Castro,BR,2021-04-11 15:51:52,-24.7911,-50.0119,78.39,41,1,8.68,clear sky
105,Marystown,CA,2021-04-11 15:56:49,47.1666,-55.1483,36.41,90,100,10.0,overcast clouds
106,Tanete,ID,2021-04-11 15:56:49,-3.9443,119.7848,74.59,96,47,1.77,scattered clouds
107,San Benito,US,2021-04-11 15:56:50,36.6166,-121.0844,55.99,81,1,1.28,clear sky
108,Bose,IT,2021-04-11 15:56:50,45.4612,8.0137,51.01,81,100,1.01,overcast clouds
109,Lodwar,KE,2021-04-11 15:56:51,3.1191,35.5973,92.53,31,100,20.04,overcast clouds
110,Nanakuli,US,2021-04-11 15:56:51,21.3906,-158.1547,68.0,72,90,3.44,overcast clouds
111,Werda,BW,2021-04-11 15:56:51,-25.2667,23.2833,83.25,24,0,4.9,clear sky
112,Campo Maior,BR,2021-04-11 15:56:52,-4.8278,-42.1686,87.21,58,83,6.33,broken clouds
113,Port Blair,IN,2021-04-11 15:56:52,11.6667,92.75,82.45,76,99,4.76,overcast clouds
114,Zarubino,RU,2021-04-11 15:56:52,42.63,131.0922,40.98,96,90,4.43,overcast clouds
115,Guerrero Negro,MX,2021-04-11 15:56:53,27.9769,-114.0611,62.73,69,94,15.05,overcast clouds
116,Leningradskiy,RU,2021-04-11 15:56:53,69.3833,178.4167,-22.13,98,62,6.55,broken clouds
117,Ormara,PK,2021-04-11 15:54:12,25.2088,64.6357,80.65,69,3,16.8,clear sky
118,Saldanha,ZA,2021-04-11 15:56:53,-33.0117,17.9442,77.0,50,99,12.66,overcast clouds
119,Torbay,CA,2021-04-11 15:56:54,47.6666,-52.7314,34.0,100,90,8.05,moderate rain
120,Clyde River,CA,2021-04-11 15:56:54,70.4692,-68.5914,30.2,80,1,18.41,light snow
121,Panama City,PA,2021-04-11 15:52:58,8.9936,-79.5197,86.0,70,20,5.75,few clouds
122,Tiksi,RU,2021-04-11 15:56:55,71.6872,128.8694,-1.82,80,94,5.88,overcast clouds
123,Jabinyanah,TN,2021-04-11 15:56:55,35.035,10.9081,66.2,68,40,16.11,scattered clouds
124,Anupgarh,IN,2021-04-11 15:56:56,29.1911,73.2086,90.0,8,1,5.19,clear sky
125,Bathsheba,BB,2021-04-11 15:56:56,13.2167,-59.5167,78.8,69,75,12.66,volcanic ash
126,Sao Filipe,CV,2021-04-11 15:56:56,14.8961,-24.4956,76.89,61,1,4.34,clear sky
127,Canmore,CA,2021-04-11 15:56:57,51.0834,-115.3521,23.0,73,57,2.3,broken clouds
128,New Norfolk,AU,2021-04-11 15:56:57,-42.7826,147.0587,46.0,74,76,3.27,broken clouds
129,Ilulissat,GL,2021-04-11 15:56:57,69.2167,-51.1,28.4,50,20,12.66,few clouds
130,Ancud,CL,2021-04-11 15:56:58,-41.8697,-73.8203,55.4,100,90,14.97,mist
131,Beringovskiy,RU,2021-04-11 15:56:58,63.05,179.3167,3.13,94,100,25.5,snow
132,Uman,UA,2021-04-11 15:56:58,48.7484,30.2218,53.62,43,0,5.35,clear sky
133,Codrington,AU,2021-04-11 15:53:39,-38.2667,141.9667,54.93,74,100,10.85,overcast clouds
134,Waddan,LY,2021-04-11 15:56:59,29.1614,16.139,81.66,11,94,20.42,overcast clouds
135,Koygorodok,RU,2021-04-11 15:56:59,60.445,50.9968,32.88,95,53,3.87,broken clouds
136,Kirksville,US,2021-04-11 15:57:00,40.1948,-92.5833,50.0,71,1,12.66,clear sky
137,Malim,PH,2021-04-11 15:57:00,7.452,123.4312,79.75,79,88,8.08,overcast clouds
138,Angoram,PG,2021-04-11 15:57:00,-4.0625,144.0661,73.56,99,100,2.1,moderate rain
139,Saskylakh,RU,2021-04-11 15:57:01,71.9167,114.0833,19.31,92,100,8.7,overcast clouds
