City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
127,Touros,BR,2021-04-08 22:59:37,-5.1989,-35.4608,80.6,78,20,4.61
128,Alofi,NU,2021-04-08 22:57:23,-19.0595,-169.9187,80.6,74,75,5.75
129,Dukat,RU,2021-04-08 22:59:38,62.55,155.55,10.18,82,42,4.83
130,Baghdad,IQ,2021-04-08 22:57:06,33.3406,44.4009,75.2,33,36,8.93
131,Tamworth,GB,2021-04-08 22:57:05,52.634,-1.6959,45.0,72,97,8.01
132,Nanlong,CN,2021-04-08 22:59:39,31.3533,106.0631,56.66,77,100,3.0
133,Jipapad,PH,2021-04-08 22:59:39,12.2861,125.2353,77.47,79,99,1.7
134,Puerto Ayora,EC,2021-04-08 22:57:13,-0.7393,-90.3518,86.0,66,20,11.5
135,Pisco,PE,2021-04-08 22:57:19,-13.7,-76.2167,72.0,78,100,23.02
136,Tuatapere,NZ,2021-04-08 22:58:56,-46.1333,167.6833,61.0,73,2,1.01
137,Russell,US,2021-04-08 22:59:40,32.3502,-85.1999,82.4,44,20,9.22
138,Mapua,NZ,2021-04-08 22:59:40,-41.25,173.1,66.0,75,100,2.33
139,Aborlan,PH,2021-04-08 22:59:41,9.4352,118.5492,78.8,89,20,6.91
140,Olafsvik,IS,2021-04-08 22:57:14,64.8945,-23.7142,25.27,49,3,11.3
141,Carnarvon,AU,2021-04-08 22:57:35,-24.8667,113.6333,73.4,83,68,8.05
142,Tasiilaq,GL,2021-04-08 22:57:45,65.6145,-37.6368,15.8,79,35,6.91
143,Barra Patuca,HN,2021-04-08 22:59:42,15.8,-84.2833,80.55,79,100,12.01
144,Lafia,NG,2021-04-08 22:59:42,8.4833,8.5167,89.17,44,58,11.32
145,Ureki,GE,2021-04-08 22:59:42,41.9956,41.7786,53.6,87,0,11.5
146,Bay Roberts,CA,2021-04-08 22:59:43,47.5999,-53.2648,39.99,99,97,8.99
147,Lebu,CL,2021-04-08 22:57:21,-37.6167,-73.65,55.35,85,3,3.47
148,San Ramon De La Nueva Oran,AR,2021-04-08 22:59:44,-23.1322,-64.326,81.0,82,97,0.63
149,Cabano,PH,2021-04-08 22:59:59,10.5869,122.7002,79.72,77,82,13.09
150,Le Mars,US,2021-04-08 23:00:00,42.7942,-96.1656,48.2,87,90,11.5
151,Chitipa,MW,2021-04-08 23:00:00,-9.7024,33.2697,59.5,97,41,2.53
152,Mirpur Khas,PK,2021-04-08 23:00:01,25.5251,69.0159,78.96,24,0,4.7
153,Ahipara,NZ,2021-04-08 23:00:01,-35.1667,173.1667,68.18,72,100,11.23
154,Fort Nelson,CA,2021-04-08 23:00:02,58.8053,-122.7002,32.0,47,75,14.97
155,Alpine,US,2021-04-08 23:00:04,32.835,-116.7664,75.99,35,1,8.05
156,Alice Springs,AU,2021-04-08 22:59:47,-23.7,133.8833,73.0,52,11,4.61
157,Kirknewton,GB,2021-04-08 23:00:07,55.8875,-3.419,39.2,75,20,13.8
158,Taltal,CL,2021-04-08 23:00:08,-25.4,-70.4833,66.76,81,81,4.23
159,Bonito,BR,2021-04-08 23:00:09,-21.1211,-56.4819,78.69,59,61,3.0
160,Comodoro Rivadavia,AR,2021-04-08 23:00:10,-45.8667,-67.5,57.2,67,0,6.91
161,Wajima,JP,2021-04-08 23:00:11,37.4,136.9,45.01,45,79,15.17
162,Lompoc,US,2021-04-08 22:57:03,34.6391,-120.4579,60.8,59,51,16.11
163,Morros,BR,2021-04-08 23:00:12,-9.4467,-46.3003,77.65,58,63,4.61
164,Luderitz,NA,2021-04-08 22:59:44,-26.6481,15.1594,71.02,54,0,9.84
165,Igarka,RU,2021-04-08 22:58:32,67.4667,86.5833,9.99,90,100,5.3
166,Zabid,YE,2021-04-08 23:00:12,14.1951,43.3152,77.32,44,5,6.06
167,Changji,CN,2021-04-08 23:00:13,44.0167,87.3167,51.8,54,0,4.47
168,Damietta,EG,2021-04-08 23:00:14,31.4165,31.8133,60.8,77,0,9.22
169,Kodiak,US,2021-04-08 22:57:10,57.79,-152.4072,30.2,43,1,33.38
170,Gat,IL,2021-04-08 23:00:15,31.61,34.7642,62.01,100,14,4.18
171,Severo-Kurilsk,RU,2021-04-08 22:57:43,50.6789,156.125,31.87,92,100,14.85
172,Avarua,CK,2021-04-08 22:58:24,-21.2078,-159.775,80.6,83,90,6.91
173,Ilebo,CD,2021-04-08 22:59:04,-4.3167,20.5833,69.26,99,97,2.17
174,Ukiah,US,2021-04-08 23:00:16,39.1502,-123.2078,73.4,17,1,10.36
175,Soke,ML,2021-04-08 23:00:16,13.598,-5.9386,90.48,8,0,10.11
176,Mokshan,RU,2021-04-08 23:00:17,53.4365,44.6132,34.7,75,98,4.54
177,East London,ZA,2021-04-08 22:59:27,-33.0153,27.9116,65.98,82,48,3.96
178,Quang Ngai,VN,2021-04-08 22:59:34,15.1167,108.8,71.62,88,30,3.85
179,Jalu,LY,2021-04-08 22:58:33,29.0331,21.5482,68.76,20,8,10.6
180,Noumea,NC,2021-04-08 22:58:04,-22.2763,166.4572,82.4,74,75,3.44
181,Salinas,US,2021-04-08 22:56:01,36.6777,-121.6555,62.6,51,1,17.27
182,Grottammare,IT,2021-04-08 23:00:19,42.9888,13.8649,39.0,54,40,4.0
183,Klaksvik,FO,2021-04-08 22:59:52,62.2266,-6.589,28.4,74,75,26.46
184,Labuhan,ID,2021-04-08 23:00:19,-6.8844,112.2051,78.48,85,100,5.1
185,Pevek,RU,2021-04-08 22:57:22,69.7008,170.3133,-10.25,87,52,1.72
